   name1,name2,street1,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility
Lahey Health Behavioral Services,Ryan House,100 Green Street,Lynn,MA,1902,,Essex,781-593-9434 x228,Intakes,781-593-9434 x226,781-593-9434 x219,http://,42.4651483,-70.937202,SA
Lahey Health Behavioral Services,TSS,110 Green Street,Lynn,MA,1902,,Essex,781-593-9434 x212,,781-593-9434 x219,,http://www.nebhealth.org,42.465057,-70.936992,SA
CAC Worcester LLC,Substance Abuse Program,51 Union Street,Worcester,MA,1608,,Worcester,508-756-2005,,,,http://,42.2696115,-71.7978796,SA
Northeast Addictions Treatment Ctr,,604 Washington Street,Quincy,MA,2169,,Norfolk,800-218-1734,,,,http://www.neaddictions.com/,42.2468893,-70.9764594,SA
Multicultural Wellness Center Inc,,250 Commercial Street,Worcester,MA,1608,,Worcester,508-752-4665,Intakes,508-752-4665 x200,508-752-4665 x201,http://multiculturalwellness.org,42.2632,-71.800383,SA
South Bay Community Services,,340 Main Street,Worcester,MA,1608,,Worcester,508-791-4976 x1253,,508-427-5362,,http://www.southbaycommunityservices.com,42.2653091,-71.8021009,SA
Hector Reyes House,,27 Vernon Street,Worcester,MA,1610,,Worcester,508-459-1801,,,,http://www.lahaworc.org,42.252987,-71.796087,SA
Worcester LUK Site,,40 Southbridge Street,Worcester,MA,1608,,Worcester,508-762-3000,Intakes,978-829-2222,800-579-0000,http://www.luk.org,42.260392,-71.803395,SA
Spectrum Health Systems Inc,Outpatient Services,105 Merrick Street,Worcester,MA,1609,,Worcester,508-797-6100,Intakes,800-464-9555 x1161,508-831-0045 x1161,http://www.spectrumhealthsystems.org,42.26598923,-71.81316218,SA
Lahey Health Behavioral Services,Residential Adolescent Program,111 Middleton Road,Danvers,MA,1923,,Essex,978-739-7615,,,,http://www.nebhealth.org,42.586803,-70.97731,SA
Lahey Health Behavioral Services,Methadone Program,111 Middleton Road,Danvers,MA,1923,,Essex,978-739-7664,,978-739-7677,,http://www.nebhealth.org,42.5866809,-70.9767743,SA
NBH DBA Lacey Health Behavioral,Services Detoxification Unit,111 Middleton Road,Danvers,MA,1923,,Essex,978-777-2121,,978-777-2121 x675,,http://www.nebhealth.org,42.5866809,-70.9767743,SA
Lahey Health Behavioral Services,CSS Program,111 Middleton Road,Danvers,MA,1923,,Essex,978-739-7621,,,978-739-7659,http://www.nebhealth.org,42.5866809,-70.9767743,SA
Community Healthlink Inc,Highland Grace House,280 Highland Street,Worcester,MA,1602,,Worcester,508-860-1172,,,,http://www.communityhealthlink.org,42.2703403,-71.8190438,SA
Passages Program,,12 Queen Street,Worcester,MA,1610,,Worcester,508-860-1142,,508-860-1298,,http://www.communityhealthlink.org,42.2597825,-71.8138,SA
Thayer TSS,,12 Queen Street,Worcester,MA,1610,,Worcester,774-312-2400,Intakes,508-860-1298,508-438-5662,http://www.communityhealthlink.org,42.2597825,-71.8138,SA
Day Street LUK Site,,99 Day Street,Fitchburg,MA,1420,,Worcester,978-345-0685,,,,http://www.luk.org,42.584677,-71.794296,SA
Community Healthlink Inc,Detoxification Program,12 Queen Street,Worcester,MA,1610,,Worcester,508-860-1237,,508-860-1200,,http://www.communityhealthlink.org,42.259911,-71.814511,SA
Community Healthlink Inc,,72 Jaques Avenue,Worcester,MA,1610,,Worcester,508-860-1260,,508-421-4411,,http://www.communityhealthlink.org,42.259774,-71.814455,SA
Motivating Youth Recovery Program,,26 Queen Street,Worcester,MA,1610,,Worcester,508-860-1244,,,,http://WWW.COMMUNITYHEALTHLINK.ORG,42.2592515,-71.8146546,SA
Groups Recover Together,,266 Main Street,Nashua,NH,3060,,Hillsborough,800-683-8313,,,,http://www.joingroups.com,42.7556574,-71.4629526,SA
Catholic Charities,Family Counseling and Guidance Ctr,152 Sylvan Street,Danvers,MA,1923,,Essex,978-774-6820,,,,http://www.ccab.org,42.5493042,-70.9451598,SA
Catholic Charities,Crozier House,10 Hammond Street,Worcester,MA,1610,,Worcester,508-860-2216,,508-860-2251,,http://www.ccworc.org,42.25374,-71.813862,SA
Multicultural Wellness Center Inc,,515 Main Street,Fitchburg,MA,1420,,Worcester,978-343-3336,Intakes,508-752-4665 x200,508-752-4665 x201,http://multiculturalwellness.org,42.583411,-71.799916,SA
Inn Transition,,42 Washington Street,Peabody,MA,1960,,Essex,978-531-9951 x102,,,,http://www.citizensinn.org,42.5219165,-70.9248185,SA
Youth Council,Substance Abuse Treatment,112 West Pearl Street,Nashua,NH,3060,,Hillsborough,603-889-1090,,,,http://www.theyouthcouncil.org,42.7596025,-71.4666076,SA
CleanSlate Centers,Worcester,411 Chandler Street,Worcester,MA,1602,,Worcester,413-341-1787,,,,http://www.cleanslatecenters.com,42.2639116,-71.8327997,SA
Counseling Center of Nashua,,1 Main Street,Nashua,NH,3064,,Hillsborough,603-883-0005,Intakes,603-689-7890,603-689-7644,http://www.counselingcenter.com/,42.7652938,-71.4680145,SA
South Middlesex Opportunity Council,Rhodes to Recovery,5 Rhodes Street,Millbury,MA,1527,,Worcester,508-581-7821,,,,http://www.smoc.org,42.18234,-71.768998,SA
Jeremiahs Inn Inc,Jeremiahs Inn,1059 Main Street,Worcester,MA,1603,,Worcester,508-755-6403,,508-755-6403 x20,,http://www.jeremiahsinn.com,42.2450986,-71.8312675,SA
Steward Good Samaritan,NORCAP/ATS,71 Walnut Street,Foxboro,MA,2035,,Norfolk,508-543-1873,,800-331-2900 x2,,http://,42.049705,-71.240881,SA
McLean Fernside,,162 Mountain Road,Princeton,MA,1541,,Worcester,978-464-2141,,,,http://www.mcleanhospital.org/programs/mclean-fernside/landing,42.467989,-71.8841957,SA
LUK Crisis Center Inc,LUK Behavioral Health Clinic,545 Westminster Street,Fitchburg,MA,1420,,Worcester,978-345-0685,Intakes,978-829-2312,800-579-0000,http://www.luk.org,42.565868,-71.845396,SA
Gosnold Counseling Center,,909 Sumner Street,Stoughton,MA,2072,,Plymouth,508-584-5190,Intakes,800-444-1554,508-540-6550,http://gosnold.org/,42.1007161,-71.0818113,SA
Spectrum Health Systems Inc,,15 Winter Court,Weymouth,MA,2188,,Norfolk,781-331-0690,,,,http://,42.2009258,-70.9487953,SA
South Bay Community Services,,541 Main Street,South Weymouth,MA,2190,,Norfolk,781-331-7866,,,,http://,42.1879545,-70.9559183,SA
Square Medical Group,Weymouth Primary Care and Csl,884 Washington Street,East Weymouth,MA,2189,,Norfolk,781-812-1643,,,,http://www.squaremedicalgroup.org/,42.2005495,-70.9409802,SA
Recovery Centers of America ,Wesminster CSS,9 Village Inn Road,Westminster,MA,1473,,Worcester,978-571-1700,,,,http://recoverycentersofamerica.com/,42.5430321,-71.8790129,SA
Recovery Centers of America ,Westminster ATS,9 Village Inn Road,Westminster,MA,1473,,Worcester,978-571-1700,,,,http://recoverycentersofamerica.com/,42.5430321,-71.8790129,SA
Spectrum Health Systems Inc,CSS/ATS,861 Main Street,South Weymouth,MA,2190,,Norfolk,781-331-3709 x6207,Intakes,781-331-3709 x6227,781-331-3709 x6221,http://www.spectrumhealthsystems.org,42.175691,-70.9560058,SA
Spectrum Health Systems Inc,Project Turnabout,861 Main Street,South Weymouth,MA,2190,,Norfolk,781-331-3709 x6207,,,,http://www.spectrumhealthsystems.org,42.175691,-70.9560058,SA
North Shore Counseling Center,,900 Cummings Center,Beverly,MA,1915,,Essex,978-922-2280,,,,http://www.nscc-inc.com,42.5586805,-70.8873532,SA
Discovery House of,Woonsocket Comprehensive Trt Ctr,1625 Diamond Hill Road,Woonsocket,RI,2895,,Providence,401-324-4040,,,,http://www.discoveryhouse.com,42.0152503,-71.4765479,SA
EMH Recovery Inc,Edwina Martin Recovery House,678 North Main Street,Brockton,MA,2301,,Plymouth,508-583-0493,,,,http://www.edwinamartinhouse.org,42.10090014,-71.02127688,SA
CCA formerly NRICS,Outpatient,55 John A Cummings Way,Woonsocket,RI,2895,,Providence,401-235-7000,,401-235-7121,,http://www.communitycareri.org,42.0083132,-71.5048795,SA
Greater Nashua Council on Alcoholism,Cynthia Day Family Center,615 Amherst Street,Nashua,NH,3063,,Hillsborough,603-881-4848,,603-881-4848 x3100,,http://www.keystonehall.org,42.801459,-71.537817,SA
Greater Nashua Council on Alcoholism,Keystone Hall,615 Amherst Street,Nashua,NH,3063,,Hillsborough,603-881-4848 x3111,,603-881-4848 x3100,,http://www.keystonehall.org,42.8023036,-71.5385899,SA
Merrimack River Medical Services,,323 Derry Road,Hudson,NH,3051,,Hillsborough,603-595-3399,,,,http://www.csachelp.com,42.818423,-71.414576,SA
Bay Cove Human Services,New Hope Transition Support Prog,61 Redfield Road,South Weymouth,MA,2190,,Norfolk,617-878-2550,,617-878-2550 x2574,,http://www.baycove.org,42.15643,-70.9408829,SA
New Beginnings Wellness Center Inc,,803 Main Street,Leicester,MA,1524,,Worcester,508-892-5500,,,,http://www.newbeginningswc.com/our-services,42.2456938,-71.8966727,SA
Community Care Alliance,,245 Main Street,Woonsocket,RI,2895,,Providence,401-235-6069,,401-235-7121,,http://communitycarealliance.com/,42.003653,-71.5125344,SA
Luminosity Bakari Program,,157 Main Street,Brockton,MA,2301,,Norfolk,781-344-0102 x112,,781-344-0102,,http://www.luminosityma.org,42.0823932,-71.0203486,SA
South Bay Community Services,,103 Commercial Street,Brockton,MA,2302,,Plymouth,508-580-4691,Intakes,508-427-5362,800-244-4691,http://www.southbaycommunityservices.com,42.0828739,-71.0156867,SA
Gandara Mental Health Center,Brockton Outpatient Clinic,142 Crescent Street,Brockton,MA,2302,,Plymouth,508-232-6670 x530,,508-232-6670,,http://,42.0814281,-71.0159243,SA
Sunspire Health Spring Hill,,250 Spring Hill Road,Ashby,MA,1431,,Middlesex,978-913-2509,Intakes,978-386-7100,866-682-9355,http://sunspirehealth.com/,42.668395,-71.850264,SA
SBH Haverhill LLC,,61 Brown Street,Haverhill,MA,1830,,Essex,978-641-3001 x547,,855-855-9199,,http://,42.764185,-71.046341,SA
Old Colony YMCA,Mental Health Clinic,891 Montello Street,Brockton,MA,2301,,Plymouth,508-427-4383,,,,http://www.oldcolonyymca.org,42.0680262,-71.0152413,SA
Holy Family Hospital,4 East,140 Lincoln Avenue,Haverhill,MA,1830,,Essex,978-420-1156,,,,http://www.holyfamily-hospital.org/,42.7648887,-71.0447859,SA
ROAD to a Better Life,,2 Mound Court,Merrimack,NH,3054,,Hillsborough,603-423-0207,Intakes,603-841-2307,603-841-2317,http://www.roadtoabetterlifenh.com,42.8392021,-71.4923067,SA
CASTLE,High Point Youth,20 Meadowbrook Road,Brockton,MA,2301,,Plymouth,508-638-6000,,508-638-6003,,http://www.castlekids.org,42.0578704,-71.0093689,SA
Mens Addiction Treatment Center,,10 Meadowbrook Road,Brockton,MA,2301,,Plymouth,508-742-4400,,774-213-8400,,http://www.hptc.org,42.0576753,-71.0087273,SA
Brockton Addiction Treatment Center,,30 Meadowbrook Road,Brockton,MA,2302,,Plymouth,508-584-9210,,,800-734-3444,http://www.hptc.org,42.057098,-71.0095974,SA
High Point Opioid Treatment Prog,,30 Meadowbrook Road,Brockton,MA,2301,,Plymouth,508-408-6190,,,508-408-6180,http://hptc.org,42.057098,-71.009597,SA
Spectrum Health Systems Inc,,100 Plaistow Road,Haverhill,MA,1830,,Essex,978-373-4985,,800-464-9555 x1161,,http://www.spectrumhealthsystems.org/,42.8145703,-71.1044405,SA
Counseling Center of Nashua,,50 Nashua Road,Londonderry,NH,3053,,Rockingham,603-432-3033,Intakes,603-689-7890,603-689-7644,http://,42.8651003,-71.3503664,SA
Arbour Counseling Services,,384 Washington Street,Norwell,MA,2061,,Plymouth,781-871-6550 x22,,781-871-6550 x18,,http://www.arbourhealth.com,42.1584065,-70.8595483,SA
North Cottage Program Inc,Halfway House,69 East Main Street,Norton,MA,2766,,Bristol,508-285-2701,,508-285-2701 x129,,http://www.northcottageprogram.com,41.97014641,-71.18080277,SA
Bresnahan and Ball Counseling Servs,Substance Abuse Outpatient,1 Commons Drive,Londonderry,NH,3053,,Rockingham,603-965-6477,,,,http://www.bresnahanandballcounselingservices.com,42.868808,-71.349435,SA
Arbour Fuller Hospital,Outpatient Program,200 May Street,Attleboro,MA,2703,,Bristol,508-761-8500,,800-222-2237,,http://www.arbourhealth.com,41.9364439,-71.2844793,SA
GAAMHA Inc,Pathway House,171 Graham Street,Gardner,MA,1440,,Worcester,978-632-4574,,,978-632-4573,http://www.gaamha.org,42.579566,-71.995751,SA
Hampstead Hospital,,218 East Road,Hampstead,NH,3841,,Rockingham,603-329-5311,,,,http://www.hampsteadhospital.com,42.8716716,-71.1541805,SA
CLM Behavioral Health,Adults,10 Tsienneto Road,Derry,NH,3038,,Rockingham,603-434-1577,,,,http://www.centerforlifemanagement.org,42.901754,-71.319202,SA
Harrington Hospital OP Services,Satellite Location,367 East Main Street,East Brookfield,MA,1515,,Worcester,508-765-2725,,508-765-2725 x309,,http://,42.2278798,-72.0408102,SA
Addiction Recovery Institute,,31 North Union Street,Pawtucket,RI,2860,,Providence,401-725-2520,Intakes,401-725-2520 x103,401-226-8922,http://www.methadone.com,41.878729,-71.385749,SA
Community Care Alliance,Residential Substance Abuse Trt,80 Summit Street,Pawtucket,RI,2860,,Providence,401-235-7433,,401-235-7121,,http://www.communitycareri.org,41.875554,-71.378669,SA
Harrington Hospital OP Services,Satellite Location,161 West Main Street,Dudley,MA,1571,,Worcester,508-943-2944,,508-765-2725 x309,,http://,42.0421758,-71.9076926,SA
Center for Treatment and Recovery,,82 Pond Street,Pawtucket,RI,2860,4462,Providence,401-727-1287 x105,,401-727-1287,,http://www.methadoneri.com,41.871785,-71.3766009,SA
Gateway Healthcare Inc,PACS,105 Bacon Street,Pawtucket,RI,2860,,Providence,401-726-8080,,401-729-8701,,http://www.gatewayhealth.org,41.87146,-71.36727,SA
High Point Treatment Center Inc,Outpatient Clinic,4 Post Office Square,Taunton,MA,2780,,Bristol,508-823-5291,,,,http://www.hptc.org,41.902045,-71.0944936,SA
Community Csl of Bristol County,Behavioral Health Adult Counseling,1 Washington Street,Taunton,MA,2780,,Bristol,508-828-9116,,,,http://www.comcounseling.org,41.9006623,-71.098632,SA
Family Center for Csl and Educ,,5 Post Office Square,Taunton,MA,2780,,Bristol,508-822-4027,,617-770-9690 x2,,http://www.voamass.org,41.9015476,-71.0944441,SA
Clinical Services of Rhode Island,,600 Putnam Pike,Greenville,RI,2828,,Providence,401-949-2220,,,,http://www.clinicalservicesri.com,41.872881,-71.556157,SA
Link House Inc,,37 Washington Street,Newburyport,MA,1950,,Essex,978-462-7341,,,,http://www.linkhouseinc.org,42.81134226,-70.87752872,SA
Taunton Comprehensive Trt Ctr,,66 Main Street,Taunton,MA,2780,,Bristol,508-980-2149,,,508-880-1598,http://www.habitopco.com,41.9018476,-71.0899356,SA
Butler Hospital,Alcohol and Drug Treatment Services,345 Blackstone Boulevard,Providence,RI,2906,,Providence,401-455-6214,,,844-401-0111,http://www.butler.org,41.8462,-71.386671,SA
Lahey Health Behavioral Services,Opioid Treatment Program,298 Washington Street,Gloucester,MA,1930,,Essex,978-283-0296 x201,,978-283-0296 x213,,http://www.nebhealth.org,42.6252131,-70.6806526,SA
Addison Gilbert Hospital,Discover Program,298 Washington Street,Gloucester,MA,1930,,Essex,978-381-7422,,,,http://www.NebHealth.org,42.6252131,-70.6806526,SA
Continuum Behavioral Health,Symmetry SA IOP,200 Butler Drive,Providence,RI,2906,,Providence,401-437-8070,,,401-294-6170,http://,41.8421491,-71.3809715,SA
Farnum Center,,140 Queen City Avenue,Manchester,NH,3103,,Hillsborough,603-622-3020,,,888-840-4243,http://www.farnumcenter.org,42.9728914,-71.467261,SA
Providence Center,Adult Behavioral Services,530 North Main Street,Providence,RI,2904,,Providence,401-528-0110,,401-276-4020,,http://providencecenter.org/,41.8363836,-71.410182,SA
CODAC North Main,,528 North Main Street,Providence,RI,2904,,Providence,401-808-6278,,,,http://codacinc.org,41.8363487,-71.4101768,SA
Roger Williams Medical Center,Detox Unit ,825 Chalkstone Avenue,Providence,RI,2908,,Providence,401-456-2457,Intakes,401-456-3443,401-456-4807,http://www.rwmc.org,41.8351848,-71.4355921,SA
Roger Williams Medical Center,Addiction Services Center,877 Chalkstone Avenue,Providence,RI,2908,,Providence,401-456-2362,,,401-456-3500,http://www.rwmc.org,41.8335443,-71.4365699,SA
Manchester Metro Treatment Center,,228 Maple Street,Manchester,NH,3103,,Hillsborough,603-622-5005,,,,http://www.methadonetreatment.com,42.9809595,-71.4529996,SA
Veterans Affairs Medical Center,Collaborative Add and Recovery Prog,830 Chalkstone Avenue,Providence,RI,2908,,Providence,401-273-7100 x2610,Intakes,401-457-3400,401-457-3083,http://www.providence.va.gov/,41.8323154,-71.4340067,SA
Phoenix Houses of New England,Womens Residential Program,205 Waterman Street,Providence,RI,2906,,Providence,401-421-5255 x96402,,401-421-5255 x6151,,http://www.phoenixhouse.org,41.828054,-71.390315,SA
Phoenix House of NE Outpatient Ctr,,99 Wayland Avenue,Providence,RI,2906,,Providence,401-421-5255 x3272,Intakes,401-331-4250,401-441-6107,http://,41.8265231,-71.3882732,SA
Spectrum Health Systems Inc,,176 Main Street,Southbridge,MA,1550,,Worcester,508-765-5940,Intakes,508-854-3320 x1156,508-765-5940 x5204,http://www.spectrumhealthsystems.org,42.071155,-72.023588,SA
Harrington Memorial Hospital,Recovery Services,176 Main Street,Southbridge,MA,1550,,Worcester,508-765-2725,,508-765-2725 x309,,http://www.harringtonhospital.org,42.074344,-72.031125,SA
Serenity Place,NCADD Affiliate,101 Manchester Street,Manchester,NH,3101,,Hillsborough,603-625-6980,,,,http://www.serenity-place.org,42.990132,-71.461047,SA
Manchester Comprehensive Trt Ctr,,20 Market Street,Manchester,NH,3101,,Hillsborough,603-244-3163,,,603-622-9382,http://www.Acadiahealthcare.com,42.9902196,-71.4638398,SA
Family Service of Rhode Island,,55 Hope Street,Providence,RI,2906,,Providence,401-331-1350,Intakes,401-519-2280,401-294-6138 x3162,http://www.familyserviceri.org,41.82019,-71.39534,SA
Tri County Comm Action Agency,,1126 Hartford Avenue,Johnston,RI,2919,,Providence,401-351-2750,Intakes,401-351-2750 x1940,401-626-3440,http://,41.8220818,-71.4860086,SA
Groups Recover Together,,50 Bridge Street,Manchester,NH,3101,,Hillsborough,800-683-8313,,,,http://www.joingroups.com,42.9951385,-71.4614769,SA
James J Foster Associates Ltd,,540 Chestnut Street,Manchester,NH,3101,,Hillsborough,603-668-7744,,,,http://www.counselingnh.com,42.9964389,-71.461427,SA
Counseling Center of Nashua,,148 Coolidge Avenue,Manchester,NH,3102,,Hillsborough,603-627-3111,Intakes,603-689-7890,603-689-7644,http://www.counselingcenter.com/,42.995908,-71.4763624,SA
CODAC Behavioral Healthcare,East Bay,850 Waterman Avenue,East Providence,RI,2914,,Providence,401-434-4999,,,,http://www.codacinc.org,41.812961,-71.34999,SA
NH Div Alc/Drug Abuse Prev and,Recovery/Tirrell Halfway House,15 Brook Street,Manchester,NH,3104,,Hillsborough,603-836-5145,,,603-836-5450,http://www.serenityplace.org,42.9997397,-71.4633137,SA
Strive Health of Manchester,,1750 Elm Street ,Manchester,NH,3104,,Hillsborough,603-566-5521,,,,http://www.strivecares.com,43.0038085,-71.4658531,SA
CODAC Providence,,349 Huntington Avenue,Providence,RI,2909,,Providence,401-942-1450,,,,http://www.codacinc.org,41.80644,-71.441643,SA
Commons at WestBridge,Residential,- - -,Manchester,NH,3104,,Hillsborough,603-634-4446,,800-889-7871,,http://www.westbridge.org,43.0089,-71.4405,SA
McLean Ambulatory and Residential,Treatment Center at Naukeag,221 North Main Street,Petersham,MA,1366,,Franklin,800-230-8764,,,978-827-5115,http://www.mcleanhospital.org/programs/ambulatory-treatment-center-naukeag,42.5178569,-72.1835271,SA
MAP Behavioral Health Services Inc,,66 Burnett Street,Providence,RI,2907,,Providence,401-785-0050,,,,http://,41.8027698,-71.4269136,SA
Journey to Hope Hlth and Healing Inc,,985 Plainfield Street,Johnston,RI,2919,,Providence,401-946-0650 x131,,401-946-0650,,http://www.thejourneyhhh.com,41.80467,-71.467153,SA
Providence Center,Intensive Outpatient/Substance Abuse,134 Thurber Avenue,Providence,RI,2905,,Providence,401-276-4020,,,,http://providencecenter.org/,41.7998146,-71.4052339,SA
Discovery House of,Providence Comprehensive Trt Ctr,66 Pavilion Avenue,Providence,RI,2905,,Providence,401-217-4768,,,,http://www.discoveryhouse.com,41.7983244,-71.4034423,SA
